Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,3360.000000,3410.000000,3319.699951,3396.399902,3287.238770,13070
2015-05-05,3442.000000,3442.000000,3358.000000,3402.949951,3293.578125,17977
2015-05-06,3390.000000,3409.949951,3290.000000,3355.250000,3247.411377,46992
2015-05-07,3340.000000,3347.199951,3250.149902,3281.750000,3176.273926,19500
2015-05-08,3325.500000,3388.600098,3312.500000,3349.300049,3241.652832,12824
2015-05-11,3355.000000,3408.000000,3340.000000,3362.149902,3254.089600,13575
2015-05-12,3380.500000,3492.649902,3361.399902,3465.600098,3354.215088,112394
2015-05-13,3485.050049,3529.000000,3458.000000,3492.899902,3380.637451,29406
2015-05-14,3509.000000,3534.899902,3476.000000,3510.000000,3397.187988,17231
2015-05-15,3516.699951,3516.699951,3470.000000,3491.600098,3379.379395,10752
2015-05-18,3501.000000,3620.000000,3500.000000,3613.250000,3497.119141,20043
2015-05-19,3613.000000,3689.000000,3581.250000,3637.500000,3520.590332,21787
2015-05-20,3647.000000,3680.000000,3601.000000,3612.899902,3496.780518,12457
2015-05-21,3625.000000,3645.000000,3591.300049,3620.449951,3504.087891,8602
2015-05-22,3615.000000,3658.750000,3596.350098,3639.050049,3522.090088,12804
2015-05-25,3654.949951,3662.050049,3577.300049,3584.949951,3469.729248,9761
2015-05-26,3594.649902,3605.000000,3540.000000,3546.550049,3432.563477,9999
2015-05-27,3514.500000,3597.000000,3501.600098,3585.550049,3470.309570,10499
2015-05-28,3615.500000,3615.500000,3504.000000,3523.100098,3409.866699,11577
2015-05-29,3532.550049,3573.000000,3492.649902,3532.750000,3419.207031,31856
2015-06-01,3511.000000,3572.100098,3510.000000,3539.600098,3425.836670,11661
2015-06-02,3535.000000,3535.000000,3461.050049,3474.449951,3362.780273,17643
2015-06-03,3540.399902,3540.399902,3398.750000,3424.800049,3314.726318,13439
2015-06-04,3455.000000,3469.000000,3399.149902,3421.899902,3311.919434,17360
2015-06-05,3435.000000,3470.100098,3407.399902,3417.850098,3307.999756,12386
2015-06-08,3437.500000,3447.000000,3400.000000,3408.850098,3299.289063,9166
2015-06-09,3400.000000,3400.000000,3322.050049,3329.250000,3222.247070,14394
2015-06-10,3344.350098,3375.000000,3335.899902,3360.899902,3252.879883,11211
2015-06-11,3389.000000,3389.000000,3301.050049,3316.500000,3209.906982,38197
2015-06-12,3325.000000,3339.000000,3305.000000,3317.250000,3210.632813,6410
2015-06-15,3318.000000,3363.000000,3310.350098,3320.300049,3213.584961,8861
2015-06-16,3327.000000,3335.000000,3268.000000,3286.699951,3181.064697,14998
2015-06-17,3305.000000,3356.449951,3304.649902,3340.199951,3232.845215,11909
2015-06-18,3360.000000,3399.000000,3358.000000,3374.300049,3265.849365,12896
2015-06-19,3410.000000,3423.600098,3370.000000,3379.500000,3270.882324,11003
2015-06-22,3415.500000,3427.000000,3402.750000,3423.600098,3313.564941,12062
2015-06-23,3415.000000,3445.000000,3415.000000,3435.250000,3324.840332,8299
2015-06-24,3435.000000,3473.000000,3415.050049,3433.449951,3323.098145,8322
2015-06-25,3433.449951,3509.000000,3433.449951,3486.600098,3374.540283,10079
2015-06-26,3489.300049,3539.000000,3489.300049,3522.300049,3409.092285,6405
2015-06-29,3500.000000,3540.000000,3426.850098,3520.899902,3407.737549,12215
2015-06-30,3495.600098,3557.100098,3477.500000,3550.550049,3436.434814,12380
2015-07-01,3535.000000,3605.949951,3535.000000,3567.699951,3453.033203,10210
2015-07-02,3585.000000,3585.000000,3525.050049,3547.199951,3433.192139,8412
