Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,949.700012,956.549988,940.500000,946.349976,932.883362,387150
2015-05-05,956.000000,960.400024,950.450012,958.299988,944.663269,441688
2015-05-06,959.000000,959.000000,927.000000,936.400024,923.074951,376560
2015-05-07,934.900024,936.099976,920.000000,927.349976,914.153687,378492
2015-05-08,933.200012,946.400024,920.500000,940.200012,926.820923,409161
2015-05-11,949.000000,968.049988,948.000000,962.900024,949.197937,365435
2015-05-12,964.500000,965.000000,944.000000,949.599976,936.087158,334421
2015-05-13,955.000000,963.000000,942.900024,955.400024,941.804565,179022
2015-05-14,952.500000,953.049988,941.000000,944.700012,931.256897,425728
2015-05-15,929.650024,951.849976,925.000000,946.450012,932.981934,276045
2015-05-18,946.250000,961.799988,943.349976,957.450012,943.825439,229329
2015-05-19,945.349976,962.950012,945.349976,956.299988,942.691772,318823
2015-05-20,961.049988,969.000000,956.049988,966.150024,952.401550,558834
2015-05-21,967.000000,986.400024,962.500000,980.799988,966.843140,248291
2015-05-22,979.500000,1008.900024,976.599976,1003.299988,989.022888,453254
2015-05-25,1010.000000,1010.099976,994.000000,1002.000000,987.741394,221480
2015-05-26,999.500000,1000.000000,983.000000,994.250000,980.101746,323852
2015-05-27,994.000000,1003.650024,971.000000,974.650024,960.780701,262681
2015-05-28,975.900024,979.250000,948.150024,955.750000,942.149597,394397
2015-05-29,965.000000,979.000000,960.000000,965.750000,952.007324,406879
2015-06-01,916.000000,918.000000,869.500000,878.950012,866.442505,1833369
2015-06-02,885.500000,889.000000,857.099976,860.299988,848.057800,1269677
2015-06-03,862.099976,864.000000,840.099976,842.450012,830.461853,748475
2015-06-04,835.000000,841.250000,820.000000,832.150024,820.308411,700986
2015-06-05,830.000000,861.000000,827.500000,848.549988,836.475098,492575
2015-06-08,851.700012,854.500000,825.599976,829.799988,817.991882,295498
2015-06-09,825.000000,829.000000,809.000000,812.750000,801.184509,531333
2015-06-10,812.750000,830.250000,812.000000,823.450012,811.732239,337470
2015-06-11,829.000000,840.000000,816.250000,820.549988,808.873474,461125
2015-06-12,823.000000,824.000000,808.000000,813.750000,802.170288,235593
2015-06-15,816.000000,847.000000,810.849976,837.750000,825.828735,275592
2015-06-16,843.950012,843.950012,832.650024,839.549988,827.603149,162866
